,Game Type,Match ID,Tier Average,user,Match Status,Match Duration,Champion Used,K/D/A,Kill Participation,Total CS,Control Wards Bought,User Level,D_spell,F_spell
1376,Ranked Solo,3642807593,Master,Giyuu9,Defeat,31m 27s,Yone,13 / 5 / 6,P/Kill 73%,261 (8.3) CS,Control Ward 5,Level17,Flash,Ignite
1377,Ranked Solo,3642780721,Grandmaster,Giyuu9,Defeat,32m 56s,Yone,6 / 9 / 3,P/Kill 39%,270 (8.2) CS,Control Ward 5,Level17,Flash,Ignite
1378,Ranked Solo,3642705349,Grandmaster,Giyuu9,Victory,33m 27s,Akali,6 / 1 / 5,P/Kill 42%,284 (8.5) CS,Control Ward 7,Level18,Flash,Teleport
1379,Ranked Solo,3642668044,Grandmaster,Giyuu9,Defeat,32m 12s,Kassadin,5 / 1 / 3,P/Kill 62%,290 (9) CS,Control Ward 6,Level17,Flash,Teleport
1380,Ranked Solo,3642557892,Grandmaster,Giyuu9,Victory,32m 44s,Yone,5 / 6 / 7,P/Kill 46%,309 (9.4) CS,Control Ward 6,Level18,Flash,Ignite
1381,Ranked Solo,3642476507,Challenger,Giyuu9,Defeat,35m 13s,Irelia,14 / 6 / 4,P/Kill 53%,339 (9.6) CS,Control Ward 2,Level18,Flash,Teleport
1382,Ranked Solo,3642466079,Challenger,Giyuu9,Defeat,34m 34s,Twisted Fate,1 / 2 / 8,P/Kill 69%,270 (7.8) CS,Control Ward 3,Level16,Flash,Teleport
1383,Ranked Solo,3642410127,Challenger,Giyuu9,Defeat,27m 34s,Twisted Fate,0 / 6 / 1,P/Kill 14%,206 (7.5) CS,Control Ward 3,Level13,Flash,Teleport
1384,Ranked Solo,3642090677,Grandmaster,Giyuu9,Victory,32m 9s,Irelia,16 / 11 / 12,P/Kill 53%,242 (7.5) CS,Control Ward 5,Level17,Flash,Teleport
1385,Ranked Solo,3641795940,Grandmaster,Giyuu9,Victory,30m 7s,Lucian,9 / 5 / 11,P/Kill 48%,277 (9.2) CS,Control Ward 6,Level17,Flash,Ignite
1386,Ranked Solo,3641709529,Grandmaster,Giyuu9,Victory,30m 58s,Yone,14 / 3 / 9,P/Kill 77%,284 (9.2) CS,Control Ward 3,Level17,Flash,Ignite
1387,Ranked Solo,3641656515,Grandmaster,Giyuu9,Defeat,21m 1s,Lucian,1 / 4 / 4,P/Kill 63%,208 (9.9) CS,Control Ward 3,Level13,Flash,Teleport
1388,Ranked Solo,3641578207,Grandmaster,Giyuu9,Victory,25m 8s,Aatrox,2 / 2 / 3,P/Kill 33%,242 (9.6) CS,Control Ward 7,Level15,Flash,Ignite
1389,Ranked Solo,3641563991,Grandmaster,Giyuu9,Defeat,25m 1s,Jayce,1 / 5 / 2,P/Kill 43%,224 (9) CS,Control Ward 5,Level13,Flash,Teleport
1390,Ranked Solo,3641554257,Grandmaster,Giyuu9,Defeat,40m 57s,Lucian,10 / 7 / 5,P/Kill 60%,363 (8.9) CS,Control Ward 5,Level18,Flash,Teleport
1391,Ranked Solo,3641144485,Grandmaster,Giyuu9,Victory,28m 51s,Twisted Fate,7 / 2 / 12,P/Kill 48%,249 (8.6) CS,Control Ward 3,Level16,Flash,Teleport
1392,Ranked Solo,3641118723,Grandmaster,Giyuu9,Defeat,19m 56s,Sylas,3 / 5 / 5,P/Kill 67%,124 (6.2) CS,Control Ward 5,Level11,Flash,Teleport
1393,Ranked Solo,3641075113,Grandmaster,Giyuu9,Defeat,22m 58s,Yone,9 / 9 / 3,P/Kill 55%,183 (8) CS,Control Ward 5,Level14,Flash,Ignite
1394,Ranked Solo,3641129889,Grandmaster,Giyuu9,Victory,22m 50s,Nidalee,11 / 0 / 7,P/Kill 67%,218 (9.5) CS,Control Ward 3,Level15,Flash,Smite
1395,Ranked Solo,3641008004,Grandmaster,Giyuu9,Remake,3m 13s,Kalista,0 / 1 / 1,P/Kill 100%,3 (0.9) CS,0,Level1,Flash,Heal
1396,Ranked Solo,3640938357,Grandmaster,Giyuu9,Victory,25m 37s,Orianna,10 / 0 / 12,P/Kill 73%,232 (9.1) CS,Control Ward 4,Level16,Flash,Teleport
1397,Ranked Solo,3640928521,Grandmaster,Giyuu9,Victory,34m 28s,Jayce,11 / 9 / 8,P/Kill 50%,241 (7) CS,Control Ward 6,Level16,Flash,Teleport
1398,Ranked Solo,3640826404,Challenger,Giyuu9,Defeat,41m 31s,Irelia,14 / 0 / 9,P/Kill 82%,440 (10.6) CS,Control Ward 3,Level18,Flash,Teleport
1399,Ranked Solo,3640776615,Grandmaster,Giyuu9,Victory,31m 50s,Sylas,12 / 9 / 10,P/Kill 58%,270 (8.5) CS,Control Ward 7,Level18,Flash,Teleport
1400,Normal,3674245807,None,TSM Lost,Defeat,32m 24s,Lucian,3 / 10 / 7,P/Kill 34%,292 (9) CS,Control Ward 7,Level16,Flash,Heal
1401,Normal,3673099209,None,TSM Lost,Defeat,36m 43s,Kai'Sa,11 / 3 / 3,P/Kill 74%,404 (11) CS,Control Ward 4,Level18,Flash,Heal
1402,ARAM,3673011918,None,TSM Lost,Victory,20m 50s,Xayah,23 / 8 / 19,P/Kill 89%,135 (6.5) CS,0,Level18,Flash,Ghost
1403,ARAM,3672937777,None,TSM Lost,Defeat,19m 35s,Jhin,17 / 8 / 21,P/Kill 83%,131 (6.7) CS,0,Level18,Flash,Heal
1404,ARAM,3672954624,None,TSM Lost,Victory,12m 46s,Pyke,28 / 5 / 14,P/Kill 74%,6 (0.5) CS,0,Level15,Flash,Heal
1405,ARAM,3672868148,None,TSM Lost,Victory,17m 57s,Syndra,9 / 4 / 39,P/Kill 83%,74 (4.1) CS,0,Level18,Flash,Heal
1406,ARAM,3672852890,None,TSM Lost,Defeat,22m 54s,Kassadin,8 / 14 / 29,P/Kill 69%,57 (2.5) CS,0,Level18,Flash,Mark
1407,ARAM,3672816208,None,TSM Lost,Victory,22m 3s,Brand,17 / 10 / 28,P/Kill 74%,89 (4) CS,0,Level18,Flash,Ghost
1408,ARAM,3672753632,None,TSM Lost,Defeat,14m 42s,Samira,5 / 9 / 16,P/Kill 88%,35 (2.4) CS,0,Level13,Flash,Mark
1409,Normal,3672481750,None,TSM Lost,Victory,35m 55s,Lucian,12 / 8 / 2,P/Kill 29%,324 (9) CS,Control Ward 7,Level18,Flash,Ignite
1410,Normal,3672447445,None,TSM Lost,Victory,13m 39s,Sylas,8 / 2 / 3,P/Kill 55%,110 (8.1) CS,Control Ward 2,Level10,Flash,Teleport
1411,Normal,3672414545,None,TSM Lost,Defeat,20m 21s,Ezreal,1 / 5 / 4,P/Kill 56%,156 (7.7) CS,Control Ward 3,Level11,Flash,Heal
1412,Normal,3672399904,None,TSM Lost,Defeat,35m 8s,Jhin,18 / 14 / 10,P/Kill 85%,249 (7.1) CS,Control Ward 4,Level16,Flash,Cleanse
1413,Normal,3671945748,None,TSM Lost,Victory,33m 6s,Jhin,15 / 8 / 17,P/Kill 51%,235 (7.1) CS,Control Ward 3,Level17,Flash,Heal
1414,Normal,3671951948,None,TSM Lost,Victory,38m 0s,Kai'Sa,14 / 7 / 9,P/Kill 45%,315 (8.3) CS,Control Ward 6,Level18,Flash,Heal
1415,Normal,3671868854,None,TSM Lost,Victory,31m 9s,Vayne,14 / 6 / 6,P/Kill 50%,244 (7.8) CS,Control Ward 3,Level17,Flash,Heal
1416,ARAM,3671653692,None,TSM Lost,Victory,18m 49s,Qiyana,15 / 13 / 15,P/Kill 54%,33 (1.8) CS,0,Level18,Flash,Mark
1417,ARAM,3671559524,None,TSM Lost,Defeat,21m 31s,Twisted Fate,6 / 13 / 25,P/Kill 66%,47 (2.2) CS,0,Level18,Flash,Mark
1418,ARAM,3671476023,None,TSM Lost,Defeat,24m 6s,Ashe,5 / 14 / 28,P/Kill 63%,77 (3.2) CS,0,Level18,Flash,Heal
1419,ARAM,3671357123,None,TSM Lost,Victory,18m 34s,Kai'Sa,13 / 7 / 24,P/Kill 65%,77 (4.1) CS,0,Level18,Flash,Heal
1420,ARAM,3671334094,None,TSM Lost,Defeat,16m 12s,Yone,10 / 10 / 12,P/Kill 69%,49 (3) CS,0,Level16,Flash,Mark
1421,ARAM,3670362097,None,TSM Lost,Victory,28m 51s,Hecarim,29 / 16 / 18,P/Kill 59%,50 (1.7) CS,0,Level18,Flash,Mark
1422,ARAM,3670268414,None,TSM Lost,Victory,30m 1s,Sylas,28 / 19 / 24,P/Kill 57%,119 (4) CS,0,Level18,Flash,Mark
1423,ARAM,3670255410,None,TSM Lost,Victory,18m 41s,Fizz,13 / 13 / 20,P/Kill 63%,19 (1) CS,0,Level16,Flash,Mark
1424,ARAM,3670270401,None,TSM Lost,Defeat,28m 37s,Zed,14 / 15 / 12,P/Kill 43%,38 (1.3) CS,0,Level18,Flash,Mark
1425,ARAM,3670167508,None,TSM Lost,Victory,19m 43s,Cassiopeia,25 / 11 / 22,P/Kill 76%,98 (5) CS,0,Level18,Flash,Cleanse
1426,Normal,3669903021,None,TSM Lost,Defeat,27m 20s,Nidalee,4 / 7 / 8,P/Kill 46%,171 (6.3) CS,Control Ward 2,Level14,Flash,Smite
1427,Normal,3669836778,None,TSM Lost,Defeat,26m 28s,Nidalee,6 / 10 / 13,P/Kill 59%,112 (4.2) CS,Control Ward 2,Level14,Flash,Smite
1428,Normal,3669820524,None,TSM Lost,Victory,24m 58s,Lucian,16 / 6 / 8,P/Kill 51%,188 (7.5) CS,Control Ward 1,Level14,Flash,Heal
1429,Normal,3669774627,None,TSM Lost,Defeat,24m 1s,Samira,1 / 10 / 6,P/Kill 28%,136 (5.7) CS,Control Ward 4,Level12,Flash,Heal
1430,Normal,3667504161,None,TSM Lost,Victory,26m 43s,Nidalee,12 / 7 / 6,P/Kill 62%,160 (6) CS,Control Ward 7,Level14,Flash,Smite
1431,Normal,3667467091,None,TSM Lost,Victory,34m 16s,Ezreal,18 / 5 / 10,P/Kill 55%,263 (7.7) CS,Control Ward 5,Level18,Flash,Heal
1432,Normal,3667490103,None,TSM Lost,Victory,15m 26s,Nidalee,2 / 1 / 4,P/Kill 35%,102 (6.6) CS,Control Ward 2,Level10,Flash,Smite
1433,Normal,3666757642,None,TSM Lost,Victory,32m 10s,Zed,29 / 8 / 6,P/Kill 55%,214 (6.7) CS,Control Ward 2,Level18,Flash,Ignite
1434,Flex 5:5 Rank,3665518326,Platinum 2,TSM Lost,Victory,38m 10s,Xayah,29 / 12 / 16,P/Kill 75%,355 (9.3) CS,Control Ward 3,Level18,Flash,Heal
1435,Normal,3665434075,None,TSM Lost,Victory,24m 34s,Kai'Sa,18 / 5 / 10,P/Kill 54%,174 (7.1) CS,Control Ward 3,Level14,Flash,Heal
1436,ARAM,3665331262,None,TSM Lost,Defeat,14m 8s,Kalista,9 / 10 / 5,P/Kill 54%,44 (3.1) CS,0,Level14,Flash,Heal
1437,ARAM,3665228515,None,TSM Lost,Defeat,18m 0s,Pyke,15 / 12 / 9,P/Kill 56%,5 (0.3) CS,0,Level15,Flash,Mark
1438,Flex 5:5 Rank,3665274524,Gold 2,TSM Lost,Victory,19m 8s,Nidalee,12 / 2 / 6,P/Kill 39%,136 (7.1) CS,Control Ward 2,Level13,Flash,Smite
1439,Normal,3664458777,None,TSM Lost,Victory,37m 37s,Sylas,18 / 8 / 10,P/Kill 61%,257 (6.8) CS,Control Ward 4,Level18,Flash,Teleport
1440,Normal,3664435737,None,TSM Lost,Defeat,24m 58s,Kai'Sa,4 / 3 / 2,P/Kill 38%,202 (8.1) CS,Control Ward 2,Level14,Flash,Heal
1441,Normal,3663767196,None,TSM Lost,Victory,29m 42s,Irelia,18 / 4 / 5,P/Kill 45%,278 (9.4) CS,Control Ward 2,Level18,Flash,Teleport
1442,Normal,3663733082,None,TSM Lost,Defeat,26m 40s,Nidalee,19 / 8 / 5,P/Kill 75%,128 (4.8) CS,Control Ward 6,Level14,Flash,Smite
1443,Normal,3663667721,None,TSM Lost,Defeat,31m 37s,Ezreal,16 / 6 / 9,P/Kill 61%,245 (7.7) CS,Control Ward 5,Level16,Flash,Heal
1444,Normal,3662771478,None,TSM Lost,Victory,17m 50s,Miss Fortune,2 / 0 / 5,P/Kill 47%,137 (7.7) CS,Control Ward 3,Level10,Flash,Heal
1445,Normal,3662685721,None,TSM Lost,Defeat,28m 26s,Jhin,8 / 4 / 5,P/Kill 54%,217 (7.6) CS,Control Ward 7,Level14,Flash,Heal
1446,Normal,3661215472,None,TSM Lost,Victory,36m 44s,Ezreal,26 / 12 / 12,P/Kill 70%,202 (5.5) CS,Control Ward 4,Level18,Flash,Ignite
1447,Normal,3660635417,None,TSM Lost,Victory,31m 8s,Kai'Sa,25 / 7 / 11,P/Kill 54%,229 (7.4) CS,Control Ward 2,Level18,Flash,Teleport
1448,Normal,3660515557,None,TSM Lost,Defeat,29m 5s,Yasuo,8 / 8 / 6,P/Kill 41%,221 (7.6) CS,0,Level15,Flash,Teleport
1449,Normal,3659607282,None,TSM Lost,Victory,42m 55s,Talon,6 / 13 / 10,P/Kill 36%,266 (6.2) CS,Control Ward 4,Level18,Flash,Ignite
1450,Ranked Solo,3656134489,Grandmaster,Uma Jan pupil,Victory,9m 19s,Lucian,1 / 2 / 1,P/Kill 50%,36 (3.9) CS,Control Ward 1,Level5,Flash,Ignite
1451,Ranked Solo,3655688325,Grandmaster,Uma Jan pupil,Victory,33m 16s,Zed,6 / 5 / 8,P/Kill 58%,205 (6.2) CS,Control Ward 6,Level16,Flash,Ignite
1452,Ranked Solo,3655640763,Grandmaster,Uma Jan pupil,Defeat,27m 2s,Akali,11 / 3 / 0,P/Kill 69%,242 (9) CS,Control Ward 4,Level16,Flash,Teleport
1453,URF,3654812006,None,Uma Jan pupil,Victory,13m 7s,Xayah,26 / 9 / 4,P/Kill 77%,143 (10.9) CS,0,Level15,Flash,Exhaust
1454,URF,3654784309,None,Uma Jan pupil,Defeat,29m 33s,Rengar,27 / 26 / 21,P/Kill 68%,116 (3.9) CS,0,Level20,Flash,Ignite
1455,ARAM,3654721961,None,Uma Jan pupil,Victory,25m 1s,Pyke,22 / 8 / 14,P/Kill 65%,30 (1.2) CS,0,Level18,Flash,Ignite
1456,ARAM,3654657997,None,Uma Jan pupil,Defeat,17m 18s,Nasus,11 / 8 / 17,P/Kill 85%,71 (4.1) CS,0,Level18,Ghost,Mark
1457,Ranked Solo,3649662271,Grandmaster,Uma Jan pupil,Defeat,26m 1s,Akali,1 / 6 / 2,P/Kill 25%,190 (7.3) CS,Control Ward 4,Level13,Flash,Teleport
1458,Ranked Solo,3648748294,Grandmaster,Uma Jan pupil,Victory,25m 27s,Sylas,9 / 4 / 13,P/Kill 54%,153 (6) CS,Control Ward 2,Level14,Flash,Teleport
1459,Ranked Solo,3648762290,Grandmaster,Uma Jan pupil,Defeat,21m 5s,Zed,12 / 5 / 2,P/Kill 78%,146 (6.9) CS,Control Ward 3,Level12,Flash,Ignite
1460,Ranked Solo,3648638164,Grandmaster,Uma Jan pupil,Defeat,26m 41s,Xin Zhao,3 / 9 / 7,P/Kill 67%,149 (5.6) CS,Control Ward 1,Level13,Flash,Smite
1461,Ranked Solo,3648629671,Grandmaster,Uma Jan pupil,Defeat,24m 24s,Akali,5 / 5 / 1,P/Kill 43%,191 (7.8) CS,Control Ward 4,Level13,Flash,Ignite
1462,Ranked Solo,3647611550,Challenger,Uma Jan pupil,Victory,27m 29s,Sylas,7 / 4 / 10,P/Kill 52%,210 (7.6) CS,Control Ward 2,Level15,Flash,Teleport
1463,Ranked Solo,3647556929,Grandmaster,Uma Jan pupil,Defeat,29m 57s,Sylas,4 / 5 / 5,P/Kill 56%,243 (8.1) CS,Control Ward 2,Level15,Flash,Teleport
1464,Ranked Solo,3646978625,Grandmaster,Uma Jan pupil,Victory,23m 36s,Sylas,11 / 1 / 7,P/Kill 69%,192 (8.1) CS,Control Ward 1,Level16,Flash,Teleport
1465,Ranked Solo,3645672864,Grandmaster,Uma Jan pupil,Victory,27m 10s,Sylas,16 / 3 / 10,P/Kill 68%,207 (7.6) CS,Control Ward 5,Level16,Flash,Teleport
1466,Ranked Solo,3645184251,Grandmaster,Uma Jan pupil,Defeat,19m 55s,Lucian,1 / 2 / 0,P/Kill 14%,186 (9.3) CS,Control Ward 2,Level12,Flash,Ignite
1467,Ranked Solo,3645026640,Grandmaster,Uma Jan pupil,Victory,22m 43s,Lucian,5 / 2 / 3,P/Kill 30%,177 (7.8) CS,Control Ward 2,Level14,Flash,Teleport
1468,Ranked Solo,3644518491,Challenger,Uma Jan pupil,Defeat,24m 27s,Graves,6 / 6 / 7,P/Kill 62%,160 (6.5) CS,Control Ward 4,Level13,Flash,Smite
1469,Ranked Solo,3643368561,Grandmaster,Uma Jan pupil,Victory,26m 59s,Akali,11 / 3 / 5,P/Kill 52%,205 (7.6) CS,0,Level16,Flash,Ignite
1470,Ranked Solo,3643311163,Grandmaster,Uma Jan pupil,Victory,30m 17s,Lucian,7 / 9 / 12,P/Kill 53%,236 (7.8) CS,Control Ward 3,Level17,Flash,Ignite
1471,Ranked Solo,3643244321,Grandmaster,Uma Jan pupil,Victory,36m 18s,Sylas,9 / 5 / 14,P/Kill 53%,272 (7.5) CS,Control Ward 4,Level18,Flash,Teleport
1472,Ranked Solo,3643177861,Grandmaster,Uma Jan pupil,Defeat,23m 31s,Lucian,5 / 8 / 2,P/Kill 44%,204 (8.7) CS,Control Ward 2,Level13,Flash,Ignite
1473,Ranked Solo,3639662431,Grandmaster,Uma Jan pupil,Victory,32m 50s,Zed,14 / 2 / 6,P/Kill 61%,283 (8.6) CS,Control Ward 4,Level18,Flash,Ignite
1474,Ranked Solo,3638688641,Challenger,Uma Jan pupil,Defeat,23m 50s,Zoe,3 / 2 / 5,P/Kill 73%,189 (7.9) CS,Control Ward 3,Level13,Flash,Ignite
1475,Ranked Solo,3638624261,Challenger,Uma Jan pupil,Defeat,24m 9s,Graves,1 / 4 / 7,P/Kill 47%,178 (7.4) CS,Control Ward 3,Level13,Ignite,Smite
1476,Ranked Solo,3638609455,Grandmaster,Uma Jan pupil,Victory,19m 42s,Lucian,7 / 5 / 3,P/Kill 48%,148 (7.5) CS,Control Ward 4,Level12,Flash,Exhaust
1477,Ranked Solo,3637380949,Challenger,Uma Jan pupil,Victory,21m 30s,Sylas,4 / 3 / 13,P/Kill 77%,154 (7.2) CS,Control Ward 3,Level13,Flash,Teleport
1478,Ranked Solo,3636436978,Grandmaster,Uma Jan pupil,Victory,34m 6s,Lucian,9 / 8 / 7,P/Kill 47%,281 (8.2) CS,Control Ward 3,Level18,Flash,Ignite
1479,Ranked Solo,3636376534,Grandmaster,Uma Jan pupil,Defeat,22m 29s,Sylas,4 / 5 / 5,P/Kill 45%,174 (7.7) CS,Control Ward 2,Level13,Flash,Teleport
1480,Ranked Solo,3636313347,Challenger,Uma Jan pupil,Victory,26m 16s,Lucian,10 / 5 / 5,P/Kill 52%,184 (7) CS,Control Ward 4,Level15,Flash,Cleanse
1481,Ranked Solo,3636297115,Grandmaster,Uma Jan pupil,Victory,20m 14s,Sylas,1 / 2 / 5,P/Kill 32%,208 (10.3) CS,Control Ward 4,Level14,Flash,Teleport
1482,Ranked Solo,3635981917,Challenger,Uma Jan pupil,Victory,19m 32s,Sylas,7 / 0 / 3,P/Kill 40%,161 (8.2) CS,Control Ward 1,Level12,Flash,Teleport
1483,Ranked Solo,3635937861,Grandmaster,Uma Jan pupil,Defeat,12m 33s,Twisted Fate,0 / 1 / 0,P/Kill 0%,80 (6.4) CS,0,Level8,Flash,Ignite
1484,Ranked Solo,3635890479,Grandmaster,Uma Jan pupil,Defeat,34m 5s,Sylas,5 / 4 / 9,P/Kill 48%,233 (6.8) CS,Control Ward 4,Level17,Flash,Teleport
1485,Ranked Solo,3635875915,Grandmaster,Uma Jan pupil,Defeat,15m 42s,Akali,0 / 3 / 1,P/Kill 10%,130 (8.3) CS,Control Ward 2,Level10,Flash,Ignite
1486,Ranked Solo,3635758375,Grandmaster,Uma Jan pupil,Victory,36m 3s,Sylas,8 / 3 / 14,P/Kill 67%,256 (7.1) CS,Control Ward 6,Level18,Flash,Teleport
1487,Ranked Solo,3635733997,Grandmaster,Uma Jan pupil,Victory,26m 11s,Vladimir,7 / 1 / 3,P/Kill 38%,212 (8.1) CS,Control Ward 3,Level15,Flash,Teleport
1488,ARAM,3634805549,None,Uma Jan pupil,Victory,14m 25s,Fiora,23 / 8 / 17,P/Kill 93%,60 (4.2) CS,0,Level16,Flash,Mark
1489,ARAM,3634821150,None,Uma Jan pupil,Victory,18m 58s,Xin Zhao,9 / 12 / 24,P/Kill 66%,46 (2.4) CS,0,Level18,Flash,Mark
1490,ARAM,3634728198,None,Uma Jan pupil,Defeat,15m 55s,Rumble,13 / 11 / 12,P/Kill 74%,57 (3.6) CS,0,Level15,Flash,Mark
1491,Ranked Solo,3633113313,Grandmaster,Uma Jan pupil,Defeat,35m 8s,Akali,9 / 6 / 3,P/Kill 30%,230 (6.5) CS,Control Ward 4,Level17,Flash,Teleport
1492,Ranked Solo,3633036335,Grandmaster,Uma Jan pupil,Victory,36m 47s,Viktor,7 / 4 / 17,P/Kill 60%,305 (8.3) CS,Control Ward 4,Level18,Flash,Teleport
1493,Ranked Solo,3633018544,Grandmaster,Uma Jan pupil,Defeat,26m 58s,Twisted Fate,4 / 2 / 7,P/Kill 73%,240 (8.9) CS,Control Ward 3,Level15,Flash,Teleport
1494,Ranked Solo,3628809944,Grandmaster,Uma Jan pupil,Victory,44m 43s,Janna,3 / 8 / 13,P/Kill 48%,50 (1.1) CS,Control Ward 13,Level17,Flash,Heal
1495,Ranked Solo,3628713118,Grandmaster,Uma Jan pupil,Defeat,24m 51s,Sylas,4 / 10 / 1,P/Kill 29%,136 (5.5) CS,Control Ward 1,Level11,Flash,Teleport
1496,Ranked Solo,3628628792,Challenger,Uma Jan pupil,Victory,15m 53s,Janna,3 / 1 / 7,P/Kill 77%,6 (0.4) CS,Control Ward 3,Level8,Flash,Heal
1497,Ranked Solo,3628609723,Grandmaster,Uma Jan pupil,Defeat,27m 8s,Orianna,3 / 9 / 6,P/Kill 45%,237 (8.7) CS,Control Ward 5,Level15,Flash,Teleport
1498,Ranked Solo,3626781908,Grandmaster,Uma Jan pupil,Victory,22m 50s,Cassiopeia,9 / 1 / 5,P/Kill 56%,232 (10.2) CS,Control Ward 4,Level15,Flash,Teleport
1499,Ranked Solo,3626657826,Grandmaster,Uma Jan pupil,Defeat,36m 52s,Sylas,9 / 9 / 11,P/Kill 49%,247 (6.7) CS,Control Ward 2,Level17,Flash,Teleport
1500,Normal,3673740592,None,Fizzi,Defeat,42m 53s,Senna,7 / 13 / 16,P/Kill 37%,189 (4.4) CS,Control Ward 5,Level18,Flash,Heal
1501,ARAM,3673617344,None,Fizzi,Defeat,19m 7s,Orianna,15 / 13 / 26,P/Kill 82%,62 (3.2) CS,0,Level17,Flash,Ghost
1502,ARAM,3672777394,None,Fizzi,Victory,23m 14s,Syndra,9 / 10 / 33,P/Kill 74%,90 (3.9) CS,0,Level18,Flash,Ghost
1503,ARAM,3672763070,None,Fizzi,Defeat,18m 23s,Kog'Maw,11 / 16 / 16,P/Kill 66%,43 (2.3) CS,0,Level17,Flash,Ghost
1504,ARAM,3672737448,None,Fizzi,Defeat,19m 48s,Nidalee,21 / 13 / 25,P/Kill 82%,31 (1.6) CS,0,Level18,Flash,Mark
1505,ARAM,3672629221,None,Fizzi,Defeat,32m 40s,Anivia,12 / 17 / 45,P/Kill 67%,134 (4.1) CS,0,Level18,Flash,Ghost
1506,ARAM,3672378763,None,Fizzi,Victory,11m 7s,Jinx,17 / 7 / 16,P/Kill 79%,45 (4) CS,0,Level14,Flash,Ghost
1507,ARAM,3672396239,None,Fizzi,Victory,18m 15s,Yuumi,5 / 6 / 40,P/Kill 87%,10 (0.5) CS,0,Level18,Clarity,Exhaust
1508,ARAM,3672335558,None,Fizzi,Victory,9m 58s,Fiora,6 / 4 / 11,P/Kill 57%,25 (2.5) CS,0,Level12,Flash,Mark
1509,ARAM,3672392562,None,Fizzi,Victory,13m 39s,Gragas,3 / 8 / 17,P/Kill 63%,18 (1.3) CS,0,Level14,Flash,Mark
1510,ARAM,3672380230,None,Fizzi,Victory,17m 51s,Jhin,13 / 6 / 18,P/Kill 79%,62 (3.5) CS,0,Level17,Flash,Mark
1511,ARAM,3672317809,None,Fizzi,Victory,18m 40s,Singed,6 / 15 / 32,P/Kill 75%,36 (1.9) CS,0,Level18,Flash,Mark
1512,ARAM,3672305731,None,Fizzi,Defeat,16m 11s,Fiora,4 / 11 / 14,P/Kill 56%,26 (1.6) CS,0,Level15,Flash,Mark
1513,ARAM,3671341923,None,Fizzi,Defeat,14m 14s,Ryze,7 / 11 / 14,P/Kill 58%,57 (4) CS,0,Level14,Flash,Mark
1514,ARAM,3671285705,None,Fizzi,Defeat,24m 5s,Twitch,11 / 13 / 36,P/Kill 78%,64 (2.7) CS,0,Level18,Flash,Mark
1515,ARAM,3671233660,None,Fizzi,Defeat,9m 58s,Xayah,2 / 10 / 6,P/Kill 50%,20 (2) CS,0,Level10,Flash,Mark
1516,ARAM,3671270738,None,Fizzi,Victory,9m 9s,Ezreal,8 / 1 / 15,P/Kill 82%,18 (2) CS,0,Level12,Flash,Mark
1517,ARAM,3670981275,None,Fizzi,Victory,16m 40s,Azir,8 / 14 / 35,P/Kill 67%,15 (0.9) CS,0,Level16,Flash,Mark
1518,Normal,3669317440,None,Fizzi,Victory,26m 34s,Tahm Kench,4 / 8 / 9,P/Kill 43%,36 (1.4) CS,Control Ward 4,Level11,Flash,Ignite
1519,ARAM,3668575710,None,Fizzi,Victory,16m 41s,Fiora,18 / 12 / 14,P/Kill 63%,54 (3.2) CS,0,Level16,Flash,Mark
1520,ARAM,3668571828,None,Fizzi,Victory,15m 24s,Viktor,6 / 5 / 23,P/Kill 59%,63 (4.1) CS,0,Level16,Flash,Mark
1521,Normal,3668076427,None,Fizzi,Victory,25m 6s,Kai'Sa,12 / 3 / 4,P/Kill 67%,215 (8.6) CS,Control Ward 2,Level15,Flash,Heal
1522,ARAM,3665395374,None,Fizzi,Victory,16m 35s,Dr. Mundo,10 / 7 / 14,P/Kill 69%,28 (1.7) CS,0,Level16,Flash,Mark
1523,ARAM,3665391986,None,Fizzi,Defeat,21m 15s,Seraphine,10 / 13 / 21,P/Kill 78%,49 (2.3) CS,0,Level18,Flash,Mark
1524,ARAM,3662589565,None,Fizzi,Defeat,19m 9s,Katarina,15 / 13 / 21,P/Kill 80%,55 (2.9) CS,0,Level18,Flash,Mark
1525,Normal,3662415214,None,Fizzi,Victory,26m 24s,Annie,0 / 12 / 7,P/Kill 21%,23 (0.9) CS,Control Ward 4,Level11,Flash,Ignite
1526,Normal,3662374459,None,Fizzi,Defeat,33m 10s,Kai'Sa,7 / 11 / 14,P/Kill 49%,239 (7.2) CS,Control Ward 1,Level16,Flash,Heal
1527,Normal,3661990265,None,Fizzi,Victory,16m 12s,Nami,5 / 2 / 12,P/Kill 68%,3 (0.2) CS,Control Ward 3,Level9,Flash,Ignite
1528,Normal,3661947802,None,Fizzi,Victory,20m 35s,Seraphine,4 / 6 / 11,P/Kill 65%,14 (0.7) CS,Control Ward 2,Level11,Flash,Exhaust
1529,Normal,3660989785,None,Fizzi,Victory,25m 3s,Nami,5 / 6 / 20,P/Kill 69%,16 (0.6) CS,Control Ward 7,Level13,Flash,Ignite
1530,Normal,3660583758,None,Fizzi,Victory,18m 44s,Seraphine,4 / 4 / 12,P/Kill 64%,30 (1.6) CS,Control Ward 4,Level10,Flash,Ignite
1531,ARAM,3659615334,None,Fizzi,Victory,18m 42s,Fizz,12 / 10 / 18,P/Kill 77%,39 (2.1) CS,0,Level17,Flash,Mark
